filename,description
Titian/The Virgin and Child with Saint Catherine and a Shepherd_titian.jpg,"a painting of the virgin and child with a rabbit
"
Titian/Portrait of Ranuccio Farnese_titian.jpg,"a painting of a young man in a red dress
"
Titian/Boy with Dogs in a Landscape_titian.png,"a painting of a child with a dog and a dog
"
Titian/The Miracle of the Newborn Child_titian.jpg,"a painting of people in medieval clothing and a statue
"
Titian/Portrait of a Young Englishman_titian.jpg,"a painting of a man in black with a white collar
"
Titian/Portrait of a Man with a Quilted Sleeve_titian.jpg,"a painting of a man with a beard and blue shirt
"
Titian/The Bacchanal of the Andrians_titian.jpg,"a painting of people in a field with trees and other objects
"
Titian/Portrait of a Lady (_La Schiavona_)_titian.jpg,"a painting of a woman holding a portrait of a man
"
Titian/The Flight into Egypt_titian.jpg,"a painting of people on horses in a field
"
Titian/The Virgin and Child with St. John the Baptist and an Unidentified Saint_titian.jpg,"the virgin and child with the shepherds
"
Titian/Portrait of a Man in a Red Cap_titian.jpg,"a painting of a man wearing a red hat and fur coat
"
Titian/Portrait of a Bearded Man_titian.jpg,"a painting of a man with a beard and a brown coat
"
Titian/Portrait of Isabella d_Este_titian.jpg,"a painting of a woman wearing a fur coat
"
Titian/Assumption of the Virgin_titian.jpg,"the painting of jesus in the church
"
Titian/Portrait of Jacopo Sannazaro_titian.jpg,"a painting of a man in a black coat holding a book
"
Titian/The Presentation of the Virgin Mary_titian.jpg,"the painting shows people in a church with a man standing on a platform
"
Titian/The Pilgrims of Emmaus_titian.jpg,"the last supper by carlo marzano
"
Titian/Saint Christopher_titian.jpg,"a painting of a man holding a stick and a child
"
Titian/The Gypsy Madonna_titian.jpg,"a painting of the madonna holding a baby
"
Titian/The Penitent Magdalene_titian.jpg,"a painting of a woman with her hands on her chest
"
Titian/The Annunciation_titian.jpg,"the annunciation by pietro del sarto
"
Titian/The Miracle of the Jealous Husband_titian.jpg,"a painting of a man being carried away by a woman
"
Titian/Madonna of the Rabbit_titian.jpg,"the adoration of the magi by pietro bracciolini
"
Titian/Portrait of Pope Paul III_titian.jpg,"a painting of a man with a long white beard and red robe
"
Rapheal/The Madonna of Loreto_Raphael_1510_High Renaissance.jpg,"the madonna and child with a green net
"
Rapheal/The Grand Duke_s Madonna_Raphael_1505_High Renaissance.jpg,"madonna and child with child by person
"
Rapheal/Portrait of Baldassare Castiglione_Raphael_1515_High Renaissance.jpg,"a painting of a bearded man with a black hat
"
Rapheal/The Holy Family with a Lamb_Raphael_1507_High Renaissance.jpg,"the adoration of the child with the shepherds
"
Rapheal/The Madonna of the Goldfinch_Raphael_1506_High Renaissance.jpg,"a painting of a woman holding a baby and a bird
"
Rapheal/The Esterházy Madonna_Raphael_1508_High Renaissance.jpg,"the madonna and children by person
"
Rapheal/The Triumph of Galatea_Raphael_1514_High Renaissance.jpg,"the ascension of jesus by person
"
Rapheal/The Tempi Madonna_Raphael_1508_High Renaissance.jpg,"the madonna holding a child by person
"
Rapheal/The Madonna of the Pinks_Raphael_1507_High Renaissance.jpg,"a painting of a woman holding a baby and a flower
"
Rapheal/The Small Cowper Madonna_Raphael_1505_High Renaissance.jpg,"madonna and child with child by raffaello sforza
"
Rapheal/The Conestabile Madonna_Raphael_1504_High Renaissance.jpg,"the madonna holding a child by person
"
Rapheal/Sistine Madonna_Raphael_1512_High Renaissance.jpg,"the madonna and child with angels
"
Rapheal/Madonna dell_Impannata_Raphael_1514_High Renaissance.jpg,"the madonna and child with saints and angels
"
Rapheal/The Transfiguration_Raphael_1520_High Renaissance.jpg,"the ascension of jesus by carlo marzano
"
Rapheal/The Aldobrandini Madonna_Raphael_1510_High Renaissance.jpg,"madonna and child with cherubs by luigi da caccini
"
Rapheal/La Belle Jardinière_Raphael_1507_High Renaissance.jpg,"a painting of a woman and two children
"
Rapheal/The Madonna of the Rose_Raphael_1518_High Renaissance.jpg,"madonna and child with the three angels by michelangelo
"
Rapheal/Portrait of Pope Julius II_Raphael_1511_High Renaissance.jpg,"a painting of a man with a beard and red robes
"
Rapheal/The Niccolini-Cowper Madonna_Raphael_1508_High Renaissance.jpg,"madonna and child with child by michelangelo
"
Rapheal/The Vision of a Knight_Raphael_1504_High Renaissance.jpg,"the death of st john the baptist by giovanni di lanciano
"
Rapheal/The Madonna and Child with Saint John the Baptist and Saint Nicholas of Bari_Raphael_1505_High Renaissance.jpg,"the madonna and child with two men and a woman
"
Rapheal/The School of Athens_Raphael_1509_High Renaissance.jpeg,"the school of athens, by michelangelo
"
Rapheal/The Alba Madonna_Raphael_1510_High Renaissance.jpg,"the madonna and child with two children
"
Rapheal/The Canigiani Holy Family_Raphael_1508_High Renaissance.jpg,"the painting shows a family with a baby and an older man
"
Rapheal/Madonna del Prato_Raphael_1506_High Renaissance.jpg,"the madonna and child with two children
"
Rapheal/Madonna della Seggiola_Raphael_1514_High Renaissance.jpg,"a painting of a woman holding a child and two other children
"
Rapheal/The Madonna of Foligno_Raphael_1512_High.jpg,"the madonna and child with saints and angels
"
Jasper Johns/Flag on Orange Field (jasper Johns).jpeg,"an orange and white american flag on a white background
"
Jasper Johns/Painting Bitten by a Man (jasper johns).jpeg,"a green square painting on a white wall
"
Jasper Johns/Three Flags (Jasper Johns).jpeg,"a painting of an american flag with stars
"
Jasper Johns/Catenary (Jasper Johns).jpeg,"a blackboard with a piece of paper on it
"
Jasper Johns/Usuyuki (Jasper Johns).jpeg,"a painting with blue and white lines on it
"
Jasper Johns/Device Circle (Jasper Johns).jpeg,"a painting with red, yellow and blue paint on it
"
Jasper Johns/White Flag Jasper Johns.jpeg,"an american flag with a white background
"
Jasper Johns/0–9 (Jasper Johns).jpeg,"a painting of numbers in a frame with red, blue and yellow colors
"
Jasper Johns/Gray Numbers (Jasper Johns).jpeg,"a large painting of numbers on a wall
"
Jasper Johns/Green Target (1955) (Jasper Johns).jpeg,"an abstract painting with green paint on a white canvas
"
Jasper Johns/Corpse and Mirror (Jasper Johns).jpeg,"a painting with red, yellow and blue stripes
"
Jasper Johns/Target with Four Faces (Jasper Johns).jpeg,"a painting of a red, yellow and blue circle
"
Jasper Johns/Harlem Light (Jasper Johns).jpeg,"a white board with red, black and white paint
"
Jasper Johns/False Start Jasper Johns.jpeg,"a painting with red, yellow and blue paint on it
"
Jasper Johns/Numbers in Color Jasper johns.jpeg,"a painting of numbers in various colors
"
Jasper Johns/Regrets (Jasper Johns).jpeg,"a drawing of a man standing in front of a wall
"
Jasper Johns/The Critic Sees (Jasper johns).jpeg,"a sculpture of a man wearing glasses on a shelf
"
Jasper Johns/Slice Jasper Johns.jpeg,"a painting with a map on it and a piece of paper
"
Jasper Johns/Watchman (Jasper Johns).jpeg,"a painting with a man sitting on top of it
"
Jasper Johns/Green Angel (Jasper Johns).jpeg,"a painting with a white bear on it
"
Jasper Johns/Perilous Night (Jasper Johns).jpeg,"a painting with a black background and a blue and green pattern
"
Jasper Johns/According to What (Jasper Johns.jpeg,"a painting with many different colors and shapes
"
Jasper Johns/Periscope (Jasper Johns).jpeg,"a painting with a large black and white image
"
Robert Raushenberg/Robert raushenberg white painting.jpg,"a white wall with a white board on it
"
Robert Raushenberg/Robert Raushenberg Blue flea market.jpg,"a woman in a car with a blanket on the roof
"
Robert Raushenberg/Robert Rauschenberg Crucifixion and Reflection.jpg,"a square painting on a white wall
"
Robert Raushenberg/Robert Raushenberg should love come first.jpg,"a collage of various images and papers with a circular design
"
Robert Raushenberg/Robert Rauschenberg  Greenhouse.jpg,"a black box with a bunch of plants inside
"
Robert Raushenberg/Robert raushenberg Small vertical Black painting.jpg,"an abstract painting with brown and black paint
"
Robert Raushenberg/Pelican Robert Raushenberg.jpg,"a person is holding an umbrella in the air
"
Robert Raushenberg/Robert raushenberg Mirror.jpg,"an abstract painting with a white background
"
Robert Raushenberg/Robert Rauschenberg and Susan Weil.jpg,"a blue and white photo of a woman with a cane
"
Robert Raushenberg/Robert Raushenberg zoo drawing abstraction.jpg,"a painting of a colorful abstract painting
"
Robert Raushenberg/RObert raushenberg tanier plant.jpg,"an aerial view of a street with a man walking down it
"
Robert Raushenberg/Bicycle Robert Raushenberg.jpg,"a poster with an image of a woman on a bicycle
"
Robert Raushenberg/Robert Raushenberg Trinity.jpg,"a black and white photograph of a painting
"
